"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","selection","rt","flip","participant","subject","finalEarnings","accuracy"
"721",69,1,-0.06,0.96,1,1,0.9,8.9,"['f']",1.39929500509606,NA,2,2,13.36,0.79
"731",70,1,-0.66,-0.28,1,1,-0.94,8.9,"['j']",1.40229628113593,NA,2,2,13.36,0.79
"741",71,1,-0.54,-0.3,1,1,-0.84,8.9,"['j']",1.40619051868271,NA,2,2,13.36,0.79
"751",72,1,0.12,-0.58,1,1,-0.46,8.9,"['j']",2.57572610960051,NA,2,2,13.36,0.79
"761",73,1,0.22,0.14,1,1,0.36,9.26,"['f']",1.75645556780364,NA,2,2,13.36,0.79
"771",74,1,0.92,0,1,1,0.92,10.18,"['f']",1.50616494970018,NA,2,2,13.36,0.79
"781",75,1,-0.74,-0.96,1,1,-1.7,10.18,"['j']",1.45163961491926,NA,2,2,13.36,0.79
"791",76,1,0.36,-0.72,1,1,-0.36,10.18,"['j']",3.06185470987111,NA,2,2,13.36,0.79
"801",77,1,-0.72,-0.78,1,1,-1.5,10.18,"['j']",1.34196459341911,NA,2,2,13.36,0.79
"811",78,1,-0.2,-0.08,1,1,-0.28,10.18,"['j']",2.05349356163788,NA,2,2,13.36,0.79
"821",79,1,-0.48,-0.66,1,1,-1.14,10.18,"['j']",1.38239393602998,NA,2,2,13.36,0.79
"831",80,1,-0.4,-0.2,1,1,-0.6,10.18,"['j']",2.19105440063868,NA,2,2,13.36,0.79
"841",81,1,0.86,0,1,1,0.86,11.04,"['f']",1.26903890362155,NA,2,2,13.36,0.79
"851",82,1,-0.14,-0.42,1,1,-0.56,11.04,"['j']",1.33047447443096,NA,2,2,13.36,0.79
"861",83,1,0.78,-0.28,1,1,0.5,11.54,"['f']",1.91842321988224,NA,2,2,13.36,0.79
"871",84,0,-0.46,0.38,1,1,-0.08,11.46,"['f']",4.6042930656331,NA,2,2,13.36,0.79
"881",85,1,0.52,-0.24,1,1,0.28,11.74,"['f']",2.32101515179966,NA,2,2,13.36,0.79
"891",86,1,-0.58,-0.74,1,1,-1.32,11.74,"['j']",1.37598516458092,NA,2,2,13.36,0.79
"901",87,1,-0.5,-0.72,1,1,-1.22,11.74,"['j']",2.23179561877623,NA,2,2,13.36,0.79
"911",88,1,0.2,0.08,1,1,0.28,12.02,"['f']",2.85520022378478,NA,2,2,13.36,0.79
"921",89,1,-0.04,0.44,1,1,0.4,12.42,"['f']",1.49906091818411,NA,2,2,13.36,0.79
"931",90,0,-0.32,0.48,1,1,0.16,12.26,"['j']",2.88799462540919,NA,2,2,13.36,0.79
"941",91,1,0.68,-0.6,1,1,0.08,12.34,"['f']",1.91914522071602,NA,2,2,13.36,0.79
"951",92,1,0.22,-0.26,1,1,-0.04,12.34,"['j']",1.54266850667045,NA,2,2,13.36,0.79
