"parcode","trial","rt","choice","face_val_tot","house_val_tot","face_mult","house_mult","face_bin","house_bin","face_bin_val","house_bin_val"
156,23,11144.3251422,-1,-0.42,0,1,1,3,5,-0.375,0
156,24,3436.88589951,1,0.24,0.24,1,1,6,6,0.12,0.12
156,25,5172.07612909,1,0.9,-0.94,1,1,8,1,0.72,-1.42
156,26,6506.49231637,-1,-1.92,3.4,2,10,1,99,-1.42,99
156,27,3286.79885657,1,-0.76,0.88,1,1,2,8,-0.72,0.72
156,28,3536.07460033,1,0.54,0.26,1,1,8,7,0.72,0.39
156,29,5071.84784039,-1,-1.6,1.26,10,3,1,9,-1.42,1.52
156,30,2352.43801383,1,0.66,2.22,1,3,8,9,0.72,1.52
156,31,3854.35013441,-1,0.12,-1.44,1,2,6,1,0.12,-1.42
156,32,10210.4744787,-1,-0.44,-1.64,1,2,3,1,-0.375,-1.42
156,34,3537.09465839,1,0.14,0.54,1,1,6,8,0.12,0.72
156,35,3653.5885912,1,-0.44,0.94,1,1,3,9,-0.375,1.52
156,36,3153.57086415,1,0.72,0.3,1,1,8,7,0.72,0.39
156,37,3553.62861237,-1,-0.096,0.01,0.1,0.5,4,5,-0.1,0
156,38,4838.15780224,-1,-0.4,-4.2,0.5,10,3,0,-0.375,0
156,39,7440.66296864,-1,-0.48,1,3,2,3,9,-0.375,1.52
156,40,4371.09170546,-1,0.048,-0.48,0.1,3,5,3,0,-0.375
156,41,3169.95218498,-1,-0.5,-5.8,0.5,10,3,0,-0.375,0
156,42,7724.47616491,1,0.26,-0.16,1,2,7,4,0.39,-0.1
156,43,4020.77763577,-1,-1,0.54,1,3,1,8,-1.42,0.72
156,44,2235.69439963,1,0.48,0.84,1,1,7,8,0.39,0.72
156,45,4571.4710649,-1,-0.56,0.52,1,1,2,7,-0.72,0.39
156,46,9526.14353164,-1,0.19,-0.39,0.5,0.5,6,3,0.12,-0.375
156,47,3586.9353851,-1,0.04,-0.88,1,1,5,2,0,-0.72
156,48,3837.19513184,-1,0.06,-0.44,1,1,6,3,0.12,-0.375
156,49,1968.71621715,-1,-0.02,-0.58,1,1,5,2,0,-0.72
156,50,3219.92631548,-1,-0.28,0.8,0.5,2,3,8,-0.375,0.72
156,51,1650.74985535,-1,-3,-0.66,3,1,0,2,0,-0.72
156,52,3053.39485532,-1,-0.96,-0.002,1,0.1,1,5,-1.42,0
156,53,4121.98542056,-1,-0.26,0.12,1,1,3,6,-0.375,0.12
156,54,3320.14889544,1,0.34,-0.36,0.5,2,7,3,0.39,-0.375
156,55,6189.34230143,1,0.44,-1.56,2,3,7,1,0.39,-1.42
156,56,4154.31720411,-1,-6,-0.16,10,1,0,4,0,-0.1
156,57,2352.65254148,-1,-0.07,0.66,0.5,3,4,8,-0.1,0.72
156,58,1718.54660811,1,0.07,1.92,0.5,3,6,9,0.12,1.52
156,59,3787.10983158,1,2.88,0.094,3,0.1,99,6,99,0.12
156,60,2686.20220525,1,0.19,0.082,0.5,0.1,6,6,0.12,0.12
156,61,4470.96635401,-1,-0.05,0.03,0.5,0.5,4,5,-0.1,0
156,62,3118.94387487,1,0.2,-0.92,0.5,1,6,1,0.12,-1.42
156,63,9058.80431773,-1,-0.19,0.08,0.5,1,4,6,-0.1,0.12
156,64,2636.12201274,-1,0.012,-0.12,0.1,1,5,4,0,-0.1
156,65,3904.09801932,-1,-0.46,0.24,1,1,3,6,-0.375,0.12
156,66,6540.07430951,-1,0.08,0.28,1,1,6,7,0.12,0.39
