,choice,correct,earnings,face_mult,face_val_base,first_image,house_mult,house_val_base,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial,face_val_total,house_val_total
44,0.0,1.0,14.322,1.0,-0.82,1.0,0.1,-0.86,"[1, 0, 1]","['space', 'space', 'j']",1.0,3.0,124,0.0,3.5334550797,"[1.5000927393557504, 3.0169434429262765, 3.5334550796978874]",-0.906,45.0,-0.82,-0.086
45,1.0,1.0,15.882,1.0,0.56,0.0,1.0,1.0,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,2.78346314399,"[0.7667788580729393, 2.783463143990957]",1.56,46.0,0.56,1.0
46,1.0,0.0,15.612,0.5,0.34,0.0,2.0,-0.22,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,3.06692335551,"[0.783609400910791, 3.0669233555090614]",-0.27,47.0,0.17,-0.44
47,1.0,1.0,15.852,1.0,-0.3,1.0,1.0,0.54,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,2.51691961661,"[0.9169154378469102, 2.516919616609812]",0.24,48.0,-0.3,0.54
48,0.0,1.0,15.852,0.5,0.74,0.0,10.0,-0.64,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']",1.0,4.0,124,0.0,5.68348609057,"[1.1502608431765111, 2.0669486480619526, 3.033471941409516, 5.683486090565566]",-6.03,49.0,0.37,-6.4
49,1.0,0.0,15.838,0.5,-0.1,1.0,0.1,0.36,"[1, 0, 1, 0]","['space', 'space', 'space', 'f']",0.0,4.0,124,0.0,5.6667996053,"[2.016780324309366, 3.2169323728594463, 3.7669207162980456, 5.666799605300184]",-0.014,50.0,-0.05,0.036
50,1.0,1.0,15.932,0.1,0.46,1.0,0.1,0.48,"[1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'f']",1.0,5.0,124,0.0,5.23345244047,"[1.8001107740419684, 2.766790954497992, 3.9834810320462566, 4.450251752510667, 5.23345244047232]",0.094,51.0,0.046,0.048
51,1.0,1.0,19.494,0.1,-0.38,0.0,10.0,0.36,"[0, 1, 0, 1]","['space', 'space', 'space', 'f']",1.0,4.0,124,0.0,3.93366423809,"[0.7667707937798696, 1.9002626759611303, 2.3836099140899023, 3.9336642380949343]",3.562,52.0,-0.038,3.6
52,1.0,0.0,18.694,3.0,-0.3,0.0,1.0,0.1,"[0, 1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'space', 'f']",0.0,7.0,124,0.0,7.76694197669,"[1.7001091611746233, 2.350122210671543, 3.0835830819851253, 4.3336113070108695, 6.333466882875655, 7.066935085385921, 7.76694197668985]",-0.8,53.0,-0.9,0.1
53,1.0,1.0,28.214,10.0,1.0,0.0,2.0,-0.24,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,2.46693347253,"[0.8169152912159916, 2.4669334725331282]",9.52,54.0,10.0,-0.48
54,1.0,1.0,34.27,10.0,0.6,1.0,0.1,0.56,"[1, 0, 1, 0]","['space', 'space', 'space', 'f']",0.0,4.0,124,0.0,6.75028738203,"[3.350273232863401, 4.900149409339065, 5.950295739574358, 6.750287382034003]",6.056,55.0,6.0,0.056
55,1.0,0.0,33.79,3.0,-0.42,1.0,1.0,0.78,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,6.0505425802,"[3.0336031694168923, 6.050542580196634]",-0.48,56.0,-1.26,0.78
56,0.0,1.0,33.79,1.0,-0.98,0.0,1.0,-0.94,"[0, 1, 0]","['space', 'space', 'j']",0.0,3.0,124,0.0,3.61692379537,"[0.9835953983711079, 2.8334496546303853, 3.6169237953727134]",-1.92,57.0,-0.98,-0.94
57,0.0,0.0,29.39,10.0,0.52,0.0,10.0,-0.08,"[0, 1]","['space', 'j']",1.0,2.0,124,0.0,4.40025241232,"[0.7502562245354056, 4.400252412320697]",4.4,58.0,5.2,-0.8
58,1.0,0.0,28.25,2.0,0.06,1.0,3.0,-0.42,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,2.45011246021,"[1.150260110051022, 2.450112460210221]",-1.14,59.0,0.12,-1.26
59,1.0,1.0,35.97,0.5,-0.16,0.0,10.0,0.78,"[0, 1, 0, 1]","['space', 'space', 'space', 'f']",1.0,4.0,124,0.0,5.18345200059,"[2.1669172706315294, 3.8002687608386623, 4.450271546680597, 5.183452000594116]",7.72,60.0,-0.08,7.8
60,1.0,1.0,38.93,2.0,0.86,1.0,2.0,0.62,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,2.45011026085,"[1.3669234288099688, 2.450110260848305]",2.96,61.0,1.72,1.24
61,1.0,1.0,39.73,3.0,0.16,1.0,2.0,0.16,"[1, 0, 1]","['space', 'space', 'f']",1.0,3.0,124,0.0,4.53362296357,"[1.400250212973333, 2.233586600952549, 4.53362296357227]",0.8,62.0,0.48,0.32
62,1.0,0.0,39.72,0.5,-0.06,1.0,1.0,0.02,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,2.38359818423,"[1.3667863358714385, 2.383598184227594]",-0.01,63.0,-0.03,0.02
63,1.0,1.0,40.0,1.0,0.52,1.0,1.0,-0.24,"[1, 0, 1, 0]","['space', 'space', 'space', 'f']",0.0,4.0,124,0.0,4.11694395611,"[1.9167776117683388, 2.800112973389332, 3.3169145580905024, 4.116943956105388]",0.28,64.0,0.52,-0.24
64,1.0,1.0,40.04,1.0,0.08,1.0,1.0,-0.04,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,4.53345727905,"[2.800266194928554, 4.533457279045251]",0.04,65.0,0.08,-0.04
65,1.0,1.0,40.28,1.0,-0.5,0.0,1.0,0.74,"[0, 1, 0, 1]","['space', 'space', 'space', 'f']",1.0,4.0,124,0.0,4.40029420002,"[0.7835903398663504, 2.700273012931575, 3.1502546116826124, 4.400294200022472]",0.24,66.0,-0.5,0.74
66,0.0,1.0,40.28,2.0,-0.44,0.0,10.0,-0.52,"[0, 1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'space', 'j']",0.0,7.0,124,0.0,6.45027924443,"[1.0836003102594987, 2.0335943719983334, 2.700253585309838, 4.35025527147809, 5.133597451102105, 5.633588653683546, 6.450279244425474]",-6.08,67.0,-0.88,-5.2
67,0.0,1.0,40.28,0.5,0.5,1.0,3.0,-0.8,"[1, 0]","['space', 'j']",0.0,2.0,124,0.0,3.13361284656,"[1.683452733719605, 3.1336128465627553]",-2.15,68.0,0.25,-2.4
68,0.0,1.0,40.28,1.0,-0.72,0.0,1.0,-0.7,"[0, 1, 0]","['space', 'space', 'j']",0.0,3.0,124,0.0,2.96696389689,"[0.7669192500470672, 2.5002474271168467, 2.9669638968916843]",-1.42,69.0,-0.72,-0.7
69,0.0,1.0,40.28,0.1,-0.3,0.0,1.0,-0.92,"[0, 1]","['space', 'j']",1.0,2.0,124,0.0,4.51679022139,"[2.650338187071611, 4.516790221387055]",-0.95,70.0,-0.03,-0.92
70,0.0,1.0,40.28,1.0,-0.56,0.0,0.5,-0.52,"[0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'j']",0.0,5.0,124,0.0,4.63358608777,"[0.7169151445996249, 2.7669236487563467, 3.7502463274577167, 4.233455739507917, 4.633586087773438]",-0.82,71.0,-0.56,-0.26
71,1.0,1.0,41.84,1.0,0.88,0.0,2.0,0.34,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,2.98358330193,"[0.8002665614912985, 2.9835833019315032]",1.56,72.0,0.88,0.68
72,1.0,1.0,42.92,1.0,0.96,0.0,1.0,0.12,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,2.85025380524,"[0.8167796644993359, 2.850253805241664]",1.08,73.0,0.96,0.12
73,0.0,1.0,42.92,0.5,-0.58,1.0,0.1,-0.94,"[1, 0, 1, 0]","['space', 'space', 'space', 'j']",0.0,4.0,124,0.0,3.20027044701,"[0.9667736529227113, 2.1667779783165315, 2.5835632878151955, 3.2002704470069148]",-0.384,74.0,-0.29,-0.094
