,correct,earnings,face_mult,face_val,first_image,house_mult,house_val,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial
705,0.0,3.25,2.0,0.75,1.0,1.0,-0.25,[1],['j'],1.0,1.0,117,1.0,5.55029551963,[5.550295519626161],1.25,6.0
706,1.0,4.25,3.0,0.0,0.0,1.0,1.0,[0],['f'],0.0,1.0,117,1.0,2.4168146342,[2.416814634196271],1.0,7.0
707,1.0,5.75,2.0,0.0,1.0,3.0,0.5,[1],['f'],1.0,1.0,117,1.0,19.1337272129,[19.13372721287851],1.5,8.0
708,1.0,6.5,3.0,0.0,0.0,3.0,0.25,[0],['f'],0.0,1.0,117,1.0,7.08355119139,[7.083551191390143],0.75,9.0
709,0.0,5.25,1.0,0.25,1.0,1.0,1.0,[1],['j'],1.0,1.0,117,1.0,7.28348330472,[7.283483304716356],1.25,10.0
710,1.0,5.25,1.0,0.5,1.0,1.0,-0.75,[1],['j'],1.0,1.0,117,1.0,6.11699490776,[6.11699490776482],-0.25,11.0
711,0.0,5.0,1.0,0.75,1.0,1.0,-0.5,[1],['j'],1.0,1.0,117,1.0,6.36698317789,[6.36698317788796],0.25,12.0
712,1.0,7.0,2.0,1.0,0.0,3.0,0.0,[0],['f'],0.0,1.0,117,1.0,2.81681632037,[2.8168163203663426],2.0,13.0
713,1.0,8.75,1.0,1.0,0.0,1.0,0.75,[0],['f'],0.0,1.0,117,1.0,2.53360573533,[2.5336057353251817],1.75,14.0
714,0.0,8.25,1.0,-0.25,0.0,1.0,-0.25,[0],['f'],0.0,1.0,117,1.0,1.48357633732,[1.4835763373157533],-0.5,15.0
715,1.0,9.5,1.0,0.25,1.0,1.0,1.0,[1],['f'],1.0,1.0,117,1.0,0.900107988195,[0.900107988194577],1.25,16.0
716,1.0,9.5,3.0,-1.0,0.0,2.0,-1.0,[0],['j'],0.0,1.0,117,1.0,9.43365067542,[9.433650675420722],-5.0,17.0
717,1.0,9.5,2.0,-0.75,1.0,1.0,-0.5,[1],['j'],1.0,1.0,117,1.0,5.90029053443,[5.900290534427768],-2.0,18.0
718,1.0,9.5,1.0,-0.25,1.0,1.0,-0.5,[1],['j'],1.0,1.0,117,1.0,8.10016399836,[8.100163998364224],-0.75,19.0
719,0.0,7.75,1.0,-0.25,0.0,2.0,1.0,[0],['j'],0.0,1.0,117,1.0,13.5336838123,[13.533683812327581],1.75,20.0
720,0.0,6.25,1.0,-1.0,1.0,2.0,-0.25,[1],['f'],1.0,1.0,117,1.0,1.46696792905,[1.466967929047314],-1.5,21.0
721,0.0,2.5,3.0,1.0,1.0,1.0,0.75,[1],['j'],1.0,1.0,117,1.0,0.366902168415,[0.3669021684145264],3.75,22.0
722,0.0,1.5,1.0,0.5,1.0,3.0,-0.5,[1],['f'],1.0,1.0,117,1.0,0.36676250955,[0.36676250954951684],-1.0,23.0
723,1.0,1.5,1.0,0.5,0.0,1.0,-0.5,[0],['j'],0.0,1.0,117,1.0,1.08346028483,[1.0834602848317445],0.0,24.0
724,0.0,-1.5,3.0,0.75,1.0,1.0,0.75,[1],['j'],1.0,1.0,117,1.0,1.01693134649,[1.0169313464866718],3.0,25.0
725,1.0,0.5,2.0,1.0,1.0,1.0,0.0,[1],['f'],1.0,1.0,117,1.0,1.68343110676,[1.68343110675778],2.0,26.0
726,0.0,-1.25,1.0,0.25,0.0,2.0,-1.0,[0],['f'],0.0,1.0,117,1.0,0.950268614219,[0.9502686142186576],-1.75,27.0
727,1.0,-1.25,2.0,-0.75,0.0,3.0,-1.0,[0],['j'],0.0,1.0,117,1.0,0.616778638132,[0.6167786381320184],-4.5,28.0
728,1.0,1.75,2.0,0.0,1.0,3.0,1.0,[1],['f'],1.0,1.0,117,1.0,2.08362853527,[2.083628535274329],3.0,29.0
729,1.0,1.75,1.0,0.0,1.0,1.0,0.0,[1],['f'],1.0,1.0,117,1.0,1.01678179054,[1.0167817905366974],0.0,30.0
730,1.0,1.75,1.0,-0.75,1.0,1.0,-0.5,[1],['j'],1.0,1.0,117,1.0,9.75014625692,[9.750146256923472],-1.25,31.0
731,1.0,1.75,3.0,-1.0,1.0,1.0,-0.75,[1],['j'],1.0,1.0,117,1.0,1.26679425353,[1.2667942535335897],-3.75,32.0
732,0.0,1.5,1.0,-0.75,0.0,1.0,1.0,[0],['j'],0.0,1.0,117,1.0,1.28348330472,[1.2834833047163556],0.25,33.0
733,1.0,3.75,2.0,1.0,0.0,1.0,0.25,[0],['f'],0.0,1.0,117,1.0,1.8002966193,[1.8002966193016618],2.25,34.0
734,1.0,4.0,1.0,1.0,1.0,1.0,-0.75,[1],['f'],1.0,1.0,117,1.0,2.83345808548,[2.8334580854789237],0.25,35.0
735,0.0,2.0,1.0,-1.0,0.0,1.0,-1.0,[0],['f'],0.0,1.0,117,1.0,2.71697122808,[2.7169712280756357],-2.0,36.0
736,1.0,2.5,1.0,-0.5,1.0,2.0,0.5,[1],['f'],1.0,1.0,117,1.0,15.1002189822,[15.10021898217019],0.5,37.0
737,1.0,4.25,1.0,-0.25,0.0,2.0,1.0,[0],['f'],0.0,1.0,117,1.0,7.18365140854,[7.183651408538935],1.75,38.0
